Date,Area,Vehicles_Count,Avg_Speed,CO2_Level(ppm),PM2.5,Accidents
2025-01-01,AnnaNagar,878,24,562,79,2
2025-01-01,T.Nagar,1805,35,484,115,1
2025-01-01,Guindy,1859,21,392,92,0
2025-01-01,Velachery,1998,30,428,58,0
2025-01-01,Kodambakkam,1876,39,359,110,5
2025-01-02,AnnaNagar,836,40,546,66,4
2025-01-02,T.Nagar,1856,42,592,107,2
2025-01-02,Guindy,2115,41,365,80,3
2025-01-02,Velachery,942,38,471,104,2
2025-01-02,Kodambakkam,1128,25,574,59,4
2025-01-03,AnnaNagar,1377,46,359,51,3
2025-01-03,T.Nagar,2290,48,532,74,5
2025-01-03,Guindy,2169,36,573,65,5
2025-01-03,Velachery,1648,21,553,117,0
2025-01-03,Kodambakkam,1189,43,539,74,0
2025-01-04,AnnaNagar,2072,50,463,88,2
2025-01-04,T.Nagar,898,24,430,50,5
2025-01-04,Guindy,1342,34,432,91,0
2025-01-04,Velachery,2235,26,372,83,0
2025-01-04,Kodambakkam,2194,20,593,72,1
2025-01-05,AnnaNagar,1959,22,470,61,1
2025-01-05,T.Nagar,1260,21,590,108,4
2025-01-05,Guindy,1146,27,515,108,4
2025-01-05,Velachery,1028,24,429,88,0
2025-01-05,Kodambakkam,2240,26,587,88,4
2025-01-06,AnnaNagar,1350,31,597,74,4
2025-01-06,T.Nagar,2234,32,464,75,0
2025-01-06,Guindy,1226,22,416,117,2
2025-01-06,Velachery,1222,50,374,80,0
2025-01-06,Kodambakkam,1320,36,440,63,3
2025-01-07,AnnaNagar,2015,44,546,56,3
2025-01-07,T.Nagar,2313,25,598,97,3
2025-01-07,Guindy,1514,22,431,66,5
2025-01-07,Velachery,2333,25,415,90,4
2025-01-07,Kodambakkam,1266,33,516,106,4
2025-01-08,AnnaNagar,1427,42,465,76,4
2025-01-08,T.Nagar,1774,24,377,120,0
2025-01-08,Guindy,1236,31,403,114,1
2025-01-08,Velachery,1809,47,377,83,2
2025-01-08,Kodambakkam,1184,21,489,88,2
2025-01-09,AnnaNagar,1209,24,385,53,4
2025-01-09,T.Nagar,1362,44,400,59,1
2025-01-09,Guindy,984,25,506,75,5
2025-01-09,Velachery,2479,35,410,99,0
2025-01-09,Kodambakkam,1638,22,595,105,0
2025-01-10,AnnaNagar,2166,29,514,96,4
2025-01-10,T.Nagar,1589,49,527,83,5
2025-01-10,Guindy,1667,50,435,71,4
2025-01-10,Velachery,1694,43,576,114,3
2025-01-10,Kodambakkam,1911,46,440,115,4
2025-01-11,AnnaNagar,2093,29,519,104,2
2025-01-11,T.Nagar,2295,31,386,59,3
2025-01-11,Guindy,1210,41,390,52,4
2025-01-11,Velachery,1467,22,471,54,3
2025-01-11,Kodambakkam,1471,27,364,104,1
2025-01-12,AnnaNagar,1415,37,492,112,3
2025-01-12,T.Nagar,989,34,412,118,0
2025-01-12,Guindy,936,27,490,75,5
2025-01-12,Velachery,2201,47,549,90,0
2025-01-12,Kodambakkam,1601,26,390,102,1
2025-01-13,AnnaNagar,1857,50,504,65,5
2025-01-13,T.Nagar,838,50,487,63,3
2025-01-13,Guindy,1919,40,362,93,4
2025-01-13,Velachery,1878,33,417,115,4
2025-01-13,Kodambakkam,992,39,418,116,2
2025-01-14,AnnaNagar,1748,30,546,79,5
2025-01-14,T.Nagar,1953,41,546,68,5
2025-01-14,Guindy,1010,34,551,62,1
2025-01-14,Velachery,1879,42,424,120,5
2025-01-14,Kodambakkam,882,47,486,82,1
2025-01-15,AnnaNagar,1599,33,462,67,2
2025-01-15,T.Nagar,2246,38,437,75,4
2025-01-15,Guindy,2254,36,413,101,1
2025-01-15,Velachery,1760,43,445,90,4
2025-01-15,Kodambakkam,1033,33,520,58,1
2025-01-16,AnnaNagar,2028,31,567,54,4
2025-01-16,T.Nagar,2343,47,452,75,4
2025-01-16,Guindy,827,21,573,97,0
2025-01-16,Velachery,1176,31,579,109,3
2025-01-16,Kodambakkam,1286,27,534,109,4
2025-01-17,AnnaNagar,1986,32,474,66,1
2025-01-17,T.Nagar,1504,24,483,88,5
2025-01-17,Guindy,1417,50,499,111,2
2025-01-17,Velachery,1172,45,515,106,4
2025-01-17,Kodambakkam,2042,30,386,55,0
